Window index,Window name,Winow wvl min,Window wvl max,ion,wvl,logT,intensity,coronal ab,photo ab,Ab ratio,FIP
26,Ne VIII 770 - SH/LH,76.056,77.441,N III,76.43,4.9,16300,7.71,7.83,0.758578,14.5341
34,N IV 765 - Peak,76.276,76.754,N IV,76.51,5.1,118000,7.71,7.83,0.758578,14.5341
33,N IV 765 - SH/LH,76.057,77.441,N IV,76.51,5.1,118000,7.71,7.83,0.758578,14.5341
34,Ne VIII 770 - SH/LH,76.056,77.441,N IV,76.51,5.1,118000,7.71,7.83,0.758578,14.5341
47,N IV 765 - SH/LH,76.057,77.441,Ne VIII,77.04,5.8,13700,7.9,7.93,0.933254,21.5645
47,Ne VIII 770 - SH/LH,76.056,77.441,Ne VIII,77.04,5.8,13700,7.9,7.93,0.933254,21.5645
49,Ne VIII 770 / Mg VIII 772 - SH/LH/LW,76.734,77.44,Ne VIII,77.04,5.8,13700,7.9,7.93,0.933254,21.5645
49,Ne VIII 770 - Peak,76.812,77.29,Ne VIII,77.041,5.8,13700,7.9,7.93,0.933254,21.5645
26,Ne VIII 770 - Peak,76.812,77.29,N III,77.24,4.9,5190,7.71,7.83,0.758578,14.5341
28,Ne VIII 770 / Mg VIII 772 - SH/LH/LW,76.734,77.44,N III,77.24,4.9,5190,7.71,7.83,0.758578,14.5341
51,Ne VIII 780 / Mg VIII 782 - SH/LH,77.739,78.51,Ni XXI,77.95,7.1,2200,6.55,6.2,2.238721,7.6374
36,Ne VIII 780 / Mg VIII 782 - SH/LH,77.739,78.51,O IV,77.99,5.2,3080,8.61,8.69,0.831764,13.6181
49,Ne VIII 780 / Mg VIII 782 - SH/LH,77.739,78.51,Ne VIII,78.03,5.8,6840,7.9,7.93,0.933254,21.5645
52,S V 786 / O IV 787 - SH/LH (Lambda bin 2),78.358,79.118,Fe XXI,78.16,7.1,6460,7.85,7.47,2.398833,7.9024
53,(STP122) S V 786 / O IV 787 - Peak,78.54,79.02,Fe XXI,78.61,7.1,6460,7.85,7.47,2.398833,7.9024
53,S V 786 / O IV 787 - LW /Extend/Peak,78.42,78.98,Fe XXI,78.61,7.1,6460,7.85,7.47,2.398833,7.9024
53,S V 786 / O IV 787 - Peak,78.49,78.967,Fe XXI,78.61,7.1,6460,7.85,7.47,2.398833,7.9024
36,S V 786 / O IV 787 - SH/LH (Lambda bin 2),78.358,79.118,S V,78.64,5.2,58800,7.23,7.12,1.28825,10.36
43,S V 786 / O IV 787 - LW /Extend/Peak,78.42,78.98,S V ,78.65,5.2,58800,7.23,7.12,1.28825,10.36
40,S V 786 / O IV 787 - LW /Extend/Peak,78.42,78.98,O IV,78.77,5.2,129000,8.61,8.69,0.831764,13.6181
36,S V 786 / O IV 787 - Peak,78.49,78.967,O IV,78.771,5.2,129000,8.61,8.69,0.831764,13.6181
38,(STP122) S V 786 / O IV 787 - Peak,78.54,79.02,S V ,78.9,5.2,58800,7.23,7.12,1.28825,10.36
38,S V 786 / O IV 787 - Peak,78.49,78.967,S V ,78.9,5.2,58800,7.23,7.12,1.28825,10.36
40,(STP122) S V 786 / O IV 787 - Peak,78.54,79.02,O IV,79.02,5.2,231000,8.61,8.69,0.831764,13.6181
36,S V 786 / O IV 787 - SH/LH (Lambda bin 2),78.358,79.118,O IV ,79.02,5.2,231000,8.61,8.69,0.831764,13.6181
4,Ly-gamma-CIII group bin (1/4),96.9,98.04,H I,97.25,4.5,22800,12,12,1,13.6181
50,Ly-gamma-CIII group (2/3),97.337,97.944,Fe XVIII,97.49,6.9,45100,7.85,7.47,2.398833,7.9024
50,Ly-gamma-CIII group bin (1/4),96.9,98.04,Fe XVIII,97.49,6.9,45100,7.85,7.47,2.398833,7.9024
10,C III 977 - Peak,97.61,97.87,C III,97.7,4.8,1290000,8.35,8.43,0.831764,11.2603
6,Ly-gamma-CIII group (2/3),97.337,97.944,C III ,97.7,4.8,1290000,8.35,8.43,0.831764,11.2603
6,Ly-gamma-CIII group bin (1/4),96.9,98.04,C III ,97.7,4.8,1290000,8.35,8.43,0.831764,11.2603
15,Ly-gamma-CIII group bin (1/4),96.9,98.04,N III,97.99,4.9,1210,7.71,7.83,0.758578,14.5341
11,N III 991 - SH/LH/SW,98.766,99.363,N III,99.16,4.8,77600,7.71,7.83,0.758578,14.5341
4,N III 991 - SH/LH/SW,98.766,99.363,Si II,99.27,4.5,1370,7.86,7.51,2.238721,8.1517
11,N III 991 - SH/LH/SW,98.766,99.363,Si III,99.35,4.8,1100,7.86,7.51,2.238721,8.1517
1,Ly Beta 1025 - SH/LH/Peak,102.289,102.866,H I,102.57,4.5,173000,12,12,1,13.6181
47,(STP122) O VI 1032 - Peak,103.044,103.3616,O VI,103.19,5.4,93700,8.61,8.69,0.831764,13.6181
46,O VI 1032 - Peak,103.044,103.3616,O VI,103.19,5.4,93700,8.61,8.69,0.831764,13.6181
46,O VI 1032 - SH/LH,102.914,103.491,O VI,103.47,5.4,93700,8.61,8.69,0.831764,13.6181
