,study_id,line,spec_window_min,spec_window_max
10,rastersid10,N III 991 - SW,98.76,99.29
11,rastersid11,O III 703 / Mg IX 706 - SH,70.03,70.81
11,rastersid11,O III 703 / Mg IX 706 - LH,70.03,70.81
11,rastersid11,S IV 750 - Peak,74.76,75.24
11,rastersid11,N IV 765 - Peak,76.26,76.73
11,rastersid11,Ne VIII 770 - Peak,76.79,77.27
11,rastersid11,S V 786 / O IV 787 - Extend,78.42,78.98
11,rastersid11,S V 786 / O IV 787 - LW,78.42,78.98
11,rastersid11,N III 991 - LH,98.75,99.28
11,rastersid11,N III 991 - SH,98.75,99.28
11,rastersid11,N III 991 - SW,98.75,99.28
12,rastersid12,O II 718 - Peak,71.62,72.1
12,rastersid12,N IV 765 - Peak,76.28,76.75
12,rastersid12,Ne VIII 770 - Peak,76.81,77.29
12,rastersid12,S V 786 / O IV 787 - Peak,78.49,78.97
12,rastersid12,C III 977 - Peak,97.56,97.9
12,rastersid12,Ly Beta 1025 - SH,102.28,102.87
12,rastersid12,Ly Beta 1025 - LH,102.28,102.87
12,rastersid12,O VI 1032 - Peak,103.04,103.36
15,rastersid15,O III 703 / Mg IX 706 - SH,70.04,70.83
15,rastersid15,O III 703 / Mg IX 706 - LH,70.04,70.83
15,rastersid15,S IV 750 - Peak,74.78,75.26
15,rastersid15,N IV 765 - Peak,76.28,76.75
15,rastersid15,Ne VIII 770 - Peak,76.81,77.29
15,rastersid15,S V 786 / O IV 787 - Extend,78.44,79
15,rastersid15,S V 786 / O IV 787 - LW,78.44,79
15,rastersid15,N III 991 - LH,98.76,99.29
15,rastersid15,N III 991 - SH,98.76,99.29
15,rastersid15,N III 991 - SW,98.76,99.29
16,rastersid16,O III 703 / Mg IX 706 - SH,70.05,70.84
16,rastersid16,O III 703 / Mg IX 706 - LH,70.05,70.84
16,rastersid16,S IV 750 - Peak,74.79,75.27
16,rastersid16,N IV 765 - Peak,76.29,76.76
16,rastersid16,Ne VIII 770 - Peak,76.82,77.3
16,rastersid16,S V 786 / O IV 787 - Extend,78.45,79.01
16,rastersid16,S V 786 / O IV 787 - LW,78.45,79.01
16,rastersid16,N III 991 - LH,98.78,99.31
16,rastersid16,N III 991 - SH,98.78,99.31
16,rastersid16,N III 991 - SW,98.78,99.31
17,rastersid17,(STP122) O III 703 / Mg IX 706 - SH,70.09,70.88
17,rastersid17,(STP122) O III 703 / Mg IX 706 - LH,70.09,70.88
17,rastersid17,(STP122) Ne VIII 770 - Peak,76.86,77.34
17,rastersid17,(STP122) S V 786 / O IV 787 - Peak,78.54,79.02
17,rastersid17,(STP122) O VI 1032 - Peak,103.09,103.41
18,rastersid18,O II 718 - Peak,71.63,72.11
18,rastersid18,N IV 765 - Peak,76.29,76.76
18,rastersid18,Ne VIII 770 - Peak,76.82,77.3
18,rastersid18,S V 786 / O IV 787 - Peak,78.5,78.98
18,rastersid18,C III 977 - Peak,97.57,97.91
18,rastersid18,Ly Beta 1025 - SH,102.3,102.89
18,rastersid18,Ly Beta 1025 - LH,102.3,102.89
18,rastersid18,O VI 1032 - Peak,103.06,103.38
