Window index,Window name,Winow wvl min,Window wvl max,ion,wvl,logT,intensity,coronal ab,photo ab,Ab ratio,FIP,0,2,4,5,6,8,9,10,11,12,15,16,17,18
47,(STP122) O VI 1032 - Peak,103.044,103.3616,O VI,103.19,5.4,93700,8.61,8.69,0.831763771,13.6181,,,,,,,,,,,,,x,
46,O VI 1032 - Peak,103.044,103.3616,O VI,103.19,5.4,93700,8.61,8.69,0.831763771,13.6181,,x,,,x,,,,,x,,,,x
46,O VI 1032 - SH/LH,102.914,103.491,O VI,103.47,5.4,93700,8.61,8.69,0.831763771,13.6181,x,,,,,x,x,,,,,,,
47,N IV 765 - SH/LH,76.057,77.441,Ne VIII,77.04,5.8,13700,7.9,7.93,0.933254301,21.5645,x,,,,,,,,,,,,,
49,Ne VIII 770 - Peak,76.812,77.29,Ne VIII,77.041,5.8,13700,7.9,7.93,0.933254301,21.5645,,x,x,,x,,,x,x,x,,,x,x
47,Ne VIII 770 - SH/LH,76.056,77.441,Ne VIII,77.04,5.8,13700,7.9,7.93,0.933254301,21.5645,x,,,,,x,x,,,,,,,
49,Ne VIII 770 / Mg VIII 772 - SH/LH/LW,76.734,77.44,Ne VIII,77.04,5.8,13700,7.9,7.93,0.933254301,21.5645,,,,x,,,,,,,,,,
49,Ne VIII 780 / Mg VIII 782 - SH/LH,77.739,78.51,Ne VIII,78.03,5.8,6840,7.9,7.93,0.933254301,21.5645,,,,x,,,,,,,,,,
15,(STP122) O III 703 / Mg IX 706 - LH/SH,70.09,70.88,Mg IX,70.61,6,423,7.87,7.59,1.905460718,7.6462,,,x,,,,,,,,,,x,
50,Mg IX 706 - Peak,70.415,70.893,Mg IX,70.606,6,423,7.87,7.59,1.905460718,7.6462,,x,,,,,,,,,,,,
15,O III 703 / Mg IX 706 - SH (lambda bin 2),70.049,70.83,Mg IX,70.606,6,423,7.87,7.59,1.905460718,7.6462,x,,,,,x,x,,,,,,,
23,O III 703 / Mg IX 706 - SH/LH,70.03,70.81,Mg IX,70.606,6,423,7.87,7.59,1.905460718,7.6462,x,,,x,x,x,x,x,x,,x,x,,
